short_descriptor,long_descriptor,file
Median_age_persons,Median_age_of_persons,G02
Median_mortgage_repay_monthly,Median_mortgage_repayment_monthly,G02
Median_tot_prsnl_inc_weekly,Median_total_personal_income_weekly,G02
Median_rent_weekly,Median_rent_weekly,G02
Median_tot_fam_inc_weekly,Median_total_family_income_weekly,G02
Average_num_psns_per_bedroom,Average_number_of_Persons_per_bedroom,G02
Median_tot_hhd_inc_weekly,Median_total_household_income_weekly,G02
Average_household_size,Average_household_size,G02
Num_MVs_per_dweling_0_MVs,Number_of_motor_vehicles_per_dwelling_No_motor_vehicles_Dwellings,G34
Num_MVs_per_dweling_1_MVs,Number_of_motor_vehicles_per_dwelling_One_motor_vehicle_Dwellings,G34
Num_MVs_per_dweling_2_MVs,Number_of_motor_vehicles_per_dwelling_Two_motor_vehicles_Dwellings,G34
Num_MVs_per_dweling_3_MVs,Number_of_motor_vehicles_per_dwelling_Three_motor_vehicles_Dwellings,G34
Num_MVs_per_dweling_4mo_MVs,Number_of_motor_vehicles_per_dwelling_Four_or_more_motor_vehicles_Dwellings,G34
Num_MVs_per_dweling_Tot,Number_of_motor_vehicles_per_dwelling_Total_Dwellings,G34
Num_MVs_NS,Number_of_motor_vehicles_not_stated_Dwellings,G34
Total_dwelings,Total_Dwellings,G34
OPDs_Separate_house_Dwellings,Occupied_private_dwellings_Separate_house_Dwellings,G36
OPDs_Separate_house_Persons,Occupied_private_dwellings_Separate_house_Persons,G36
OPDs_SD_r_t_h_th_1_sty_Dwgs,Occupied_private_dwellings_Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Dwellings,G36
OPDs_SD_r_t_h_th_1_sty_Psns,Occupied_private_dwellings_Semi_detached_row_or_terrace_house_townhouse_etc_with_One_storey_Persons,G36
OPDs_SD_r_t_h_th_2_m_sty_Dwgs,Occupied_private_dwellings_Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Dwellings,G36
OPDs_SD_r_t_h_th_2_m_sty_Psns,Occupied_private_dwellings_Semi_detached_row_or_terrace_house_townhouse_etc_with_Two_or_more_storeys_Persons,G36
OPDs_SD_r_t_h_th_Tot_Dwgs,Occupied_private_dwellings_Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Dwellings,G36
OPDs_SD_r_t_h_th_Tot_Psns,Occupied_private_dwellings_Semi_detached_row_or_terrace_house_townhouse_etc_with_Total_Persons,G36
OPDs_F_ap_I_1or2_sty_blk_Ds,Occupied_private_dwellings_Flat_or_apartment_In_a_one_or_two_storey_block_Dwellings,G36
OPDs_F_ap_I_1or2_sty_blk_Ps,Occupied_private_dwellings_Flat_or_apartment_In_a_one_or_two_storey_block_Persons,G36
OPDs_F_ap_I_3_sty_blk_Dwgs,Occupied_private_dwellings_Flat_or_apartment_In_a_three_storey_block_Dwellings,G36
OPDs_F_ap_I_3_sty_blk_Psns,Occupied_private_dwellings_Flat_or_apartment_In_a_three_storey_block_Persons,G36
OPDs_F_ap_I_4to8_sty_blk_Ds,Occupied_private_dwellings_Flat_or_apartment_In_a_four_to_eight_storey_block_Dwellings,G36
OPDs_F_ap_I_4to8_sty_blk_Ps,Occupied_private_dwellings_Flat_or_apartment_In_a_four_to_eight_storey_block_Persons,G36
OPDs_F_ap_I_9_m_sty_blk_Ds,Occupied_private_dwellings_Flat_or_apartment_In_a_nine_or_more_storey_block_Dwellings,G36
OPDs_F_ap_I_9_m_sty_blk_Ps,Occupied_private_dwellings_Flat_or_apartment_In_a_nine_or_more_storey_block_Persons,G36
OPDs_Flt_apt_Att_house_Ds,Occupied_private_dwellings_Flat_or_apartment_Attached_to_a_house_Dwellings,G36
OPDs_Flt_apt_Att_house_Ps,Occupied_private_dwellings_Flat_or_apartment_Attached_to_a_house_Persons,G36
OPDs_Flt_apart_Tot_Dwgs,Occupied_private_dwellings_Flat_or_apartment_Total_Dwellings,G36
OPDs_Flt_apart_Tot_Psns,Occupied_private_dwellings_Flat_or_apartment_Total_Persons,G36
OPDs_Oth_dwg_Cvn_Ds,Occupied_private_dwellings_Other_dwelling_Caravan_Dwellings,G36
OPDs_Oth_dw_Cvn_Ps,Occupied_private_dwellings_Other_dwelling_Caravan_Persons,G36
OPDs_Oth_dwg_cab_hboat_Ds,Occupied_private_dwellings_Other_dwelling_Cabin_houseboat_Dwellings,G36
OPDs_Oth_dwg_cab_hboat_Ps,Occupied_private_dwellings_Other_dwelling_Cabin_houseboat_Persons,G36
OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,Occupied_private_dwellings_Other_dwelling_Improvised_home_tent_sleepers_out_Dwellings,G36
